epochs,loss
1,0.107042
2,0.00639946
3,0.00428174
4,0.00320296
5,0.00241807
6,0.00180892
7,0.00135316
8,0.00102479
9,0.000792002
10,0.000614827
11,0.00047134
12,0.00035574
13,0.000261235
14,0.00018019
15,0.000118839
16,7.53769e-05
17,4.42411e-05
18,2.5649e-05
19,1.51235e-05
20,9.77373e-06
21,7.26856e-06
22,5.78262e-06
23,4.82342e-06
24,4.33228e-06
25,3.93769e-06
26,3.35667e-06
27,3.6253e-06
28,3.21954e-06
29,2.53059e-06
30,2.35756e-06
31,3.20063e-06
32,1.06728e-05
33,5.85921e-06
34,1.56417e-05
35,1.05714e-05
36,4.36204e-06
37,2.68647e-05
38,2.09619e-06
39,4.53658e-05
40,5.16508e-06
41,1.81663e-06
42,0.000231172
43,7.80053e-06
44,1.66554e-06
45,2.37451e-06
46,1.18688e-05
47,1.32756e-06
48,2.3623e-06
49,1.16946e-06
50,3.2669e-06
51,1.10795e-05
52,0.000270517
53,1.17724e-06
54,1.12832e-06
55,1.20544e-06
56,1.00052e-06
57,1.16555e-06
58,1.24845e-06
59,5.38907e-06
60,2.95742e-05
61,5.33318e-05
62,9.67152e-05
63,1.78154e-05
64,1.22204e-06
65,1.11789e-06
66,1.60827e-06
67,0.000689401
68,1.62776e-05
69,1.12926e-06
70,1.0261e-06
71,1.02814e-06
72,9.59603e-07
73,9.60799e-07
74,1.10181e-06
75,9.74602e-07
76,7.81896e-07
77,8.1691e-07
78,8.82537e-07
79,8.62129e-07
80,2.69466e-06
81,1.04525e-06
82,0.000103963
83,3.7338e-05
84,6.95692e-07
85,7.15449e-07
86,1.22695e-06
87,6.5548e-05
88,4.12314e-06
89,6.0203e-07
90,1.12775e-06
91,5.81977e-07
92,5.68218e-07
93,5.8083e-05
94,1.97838e-06
95,9.28164e-06
96,1.96856e-06
97,2.4244e-06
98,9.68922e-06
99,5.50776e-05
100,4.0811e-06
101,7.46233e-06
102,2.07786e-05
103,4.14797e-07
104,5.14434e-07
105,1.02907e-06
106,6.02333e-06
107,6.35808e-06
108,0.000198436
109,1.06297e-06
110,3.56111e-07
111,3.44787e-07
112,3.25402e-07
113,2.57738e-07
114,2.43839e-07
115,2.25425e-07
116,3.27525e-07
117,3.31413e-07
118,3.87459e-07
119,9.56317e-05
120,2.48155e-06
121,2.72234e-07
122,3.26906e-07
123,1.73518e-07
124,1.61733e-07
125,3.02621e-07
126,1.71781e-06
127,3.12445e-07
128,4.00965e-07
129,2.97415e-05
130,1.77029e-06
131,4.47388e-07
132,7.55363e-07
133,1.82315e-05
134,6.38652e-05
135,3.03065e-06
136,1.39694e-07
137,2.02776e-07
138,2.5525e-07
139,1.36593e-07
140,5.86176e-07
141,1.61423e-05
142,3.53428e-07
143,9.13001e-07
144,4.1103e-06
145,3.56793e-05
146,2.0111e-07
147,1.10494e-06
148,1.17514e-05
149,1.16013e-07
150,1.12731e-07
151,6.9278e-07
152,8.43633e-05
153,7.42034e-07
154,2.17697e-07
155,1.73542e-07
156,1.67506e-07
157,1.23613e-07
158,1.2704e-07
159,2.19075e-07
160,1.98417e-07
161,2.40135e-06
162,1.21561e-06
163,8.14013e-05
164,3.17895e-07
165,1.26515e-07
166,1.44752e-07
167,1.76869e-07
168,4.64395e-07
169,5.85552e-07
170,9.59795e-05
171,7.03e-06
172,1.42145e-07
173,1.34666e-07
174,1.29206e-07
175,1.29619e-07
176,1.13782e-07
177,2.47626e-07
178,1.01329e-07
179,2.81711e-07
180,8.47004e-08
181,1.81838e-05
182,4.61676e-06
183,1.05146e-06
184,1.77512e-06
185,8.78938e-07
186,1.95626e-05
187,6.37145e-06
188,1.04038e-07
189,4.95104e-07
190,1.15724e-06
191,1.23834e-05
192,8.9919e-07
193,4.0344e-05
194,1.46966e-07
195,2.11187e-07
196,1.29858e-07
197,2.5006e-07
198,9.09026e-08
199,3.07932e-06
200,1.31074e-06
201,2.16707e-05
202,3.36933e-06
203,8.72246e-08
204,1.28428e-06
205,3.11602e-05
206,2.11714e-07
207,1.48013e-07
208,2.01194e-07
209,1.22603e-07
210,3.06886e-07
211,1.34718e-06
212,3.91453e-06
213,1.29924e-06
214,4.2327e-06
215,1.49595e-06
216,1.62515e-07
217,9.25424e-06
218,5.32474e-06
219,1.82168e-07
220,1.48405e-06
221,3.12221e-05
222,1.81881e-06
223,7.51516e-08
224,7.12875e-08
225,7.54743e-08
226,6.66804e-08
227,6.76677e-08
228,6.57655e-08
229,6.50439e-08
230,6.3168e-08
231,1.20822e-07
232,8.77673e-07
233,5.83171e-07
234,1.68246e-05
235,7.41089e-08
236,6.93167e-08
237,6.40476e-08
238,7.16473e-08
239,7.38745e-08
240,8.27912e-08
241,2.10357e-07
242,1.2197e-07
243,5.0053e-07
244,5.36505e-07
245,2.41628e-07
246,1.41839e-07
247,4.54233e-06
248,6.01055e-07
249,3.68496e-07
250,3.2209e-07
251,4.1034e-07
252,2.20294e-06
253,1.21183e-06
254,1.15521e-07
255,7.47991e-08
256,2.98051e-06
257,7.71753e-08
258,1.75964e-07
259,8.12499e-07
260,1.34285e-05
261,1.43245e-07
262,4.3296e-08
263,4.77429e-08
264,5.27029e-06
265,6.33246e-08
266,4.80019e-08
267,5.12795e-08
268,6.57004e-08
269,6.5013e-08
270,1.64864e-07
271,1.31836e-07
272,3.76386e-06
273,2.3931e-07
274,4.4845e-08
275,3.39314e-08
276,9.33989e-07
277,1.48766e-05
278,1.02283e-07
279,4.73547e-08
280,5.64699e-08
281,4.0512e-08
282,5.03601e-08
283,1.03393e-07
284,6.17461e-08
285,3.8691e-07
286,2.8722e-07
287,1.38227e-05
288,8.13047e-08
289,3.75403e-08
290,3.72436e-08
291,7.77833e-08
292,4.91672e-08
293,2.83256e-06
294,6.96917e-06
295,4.85642e-08
296,4.42066e-08
297,5.9593e-08
298,5.17506e-08
299,8.91076e-08
300,9.88496e-08
301,1.19414e-07
302,1.1968e-06
303,1.70174e-06
304,9.7201e-07
305,1.02352e-06
306,5.01637e-08
307,9.32169e-08
308,4.3549e-07
309,5.98116e-06
310,3.39879e-07
311,3.27251e-08
312,5.68829e-06
313,7.44707e-07
314,8.80442e-08
315,4.4773e-08
316,2.78448e-07
317,4.43814e-08
318,1.66552e-06
319,1.683e-06
320,4.89879e-08
321,1.26827e-06
322,5.01182e-07
323,5.1641e-07
324,2.55607e-07
325,1.30675e-05
326,2.66541e-07
327,6.14859e-08
328,1.47656e-07
329,3.91882e-07
330,7.81809e-08
331,1.6079e-06
332,1.57935e-07
333,5.39002e-08
334,6.21593e-08
335,1.09615e-07
336,5.403e-08
337,8.74643e-07
338,3.7217e-06
339,3.47272e-06
340,3.77573e-06
341,3.7817e-08
342,4.38905e-08
343,2.52603e-07
344,5.48662e-08
345,9.84042e-08
346,3.67108e-07
347,4.18429e-07
348,2.59815e-07
349,6.32078e-07
350,2.03791e-05
351,2.90419e-06
352,5.03327e-08
353,3.96105e-08
354,3.86138e-08
355,3.74822e-08
356,3.78906e-08
357,3.82997e-08
358,3.77994e-08
359,3.62969e-08
360,3.57223e-08
361,4.36492e-08
362,3.93415e-08
363,4.89073e-08
364,3.66291e-08
365,5.94381e-08
366,2.66595e-07
367,3.98722e-08
368,3.94122e-08
369,6.95986e-08
370,1.98601e-06
371,2.20195e-07
372,2.80087e-08
373,3.45483e-08
374,3.94745e-08
375,3.08697e-08
376,7.26946e-08
377,1.20375e-07
378,1.37461e-07
379,8.1225e-08
380,2.70853e-08
381,5.15225e-07
382,8.54936e-07
383,8.20932e-08
384,6.83302e-08
385,3.99071e-07
386,4.5072e-08
387,2.74054e-08
388,1.81784e-07
389,2.33322e-06
390,2.05908e-08
391,2.2517e-08
392,2.09155e-08
393,1.08842e-07
394,7.81842e-07
395,6.00683e-08
396,2.29144e-08
397,2.53267e-08
398,4.4678e-08
399,4.10752e-08
400,4.49684e-07
401,2.01189e-07
